Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1621900800000,8.118,11.0,7.592,8.013,1981446.44,18024825.23,9.296292
1621987200000,8.043,8.938,7.65,8.03,657847.47,5406935.4,8.294007
1622073600000,8.023,8.5,7.364,7.768,400848.21,3144355.77,7.932466
1622160000000,7.736,8.056,6.75,7.202,371373.6,2685825.27,7.400121
1622246400000,7.202,7.655,6.85,6.973,174801.67,1248376.21,7.255907
1622332800000,6.94,7.213,6.75,6.992,134646.42,940603.98,6.981549
1622419200000,6.995,7.122,6.582,7.0,256399.48,1760881.94,6.851997
1622505600000,6.969,7.278,6.493,6.692,417297.23,2832547.28,6.887267
1622592000000,6.69,6.734,6.2,6.267,846191.37,5506947.54,6.46486
1622678400000,6.267,7.213,6.221,6.889,589972.41,3906105.07,6.732151
1622764800000,6.906,7.009,6.123,6.508,631606.46,4091718.88,6.558509
1622851200000,6.523,6.699,6.153,6.262,287145.13,1847853.93,6.42803
1622937600000,6.244,6.4,6.063,6.179,278918.28,1740405.14,6.231688
1623024000000,6.176,6.329,5.361,5.532,344530.84,2072789.33,5.84388
1623110400000,5.516,5.534,4.614,4.915,545972.47,2768792.25,5.057101
1623196800000,4.915,5.207,4.62,5.058,379428.48,1883685.24,4.912401
1623283200000,5.068,5.35,4.793,5.019,297570.98,1491431.01,5.071554
1623369600000,5.038,5.49,4.75,4.914,409975.38,2095096.14,5.121018
1623456000000,4.92,4.97,4.277,4.437,308530.35,1385452.97,4.615897
1623542400000,4.446,4.628,4.233,4.624,247103.83,1087907.65,4.424911
1623628800000,4.625,4.983,4.489,4.818,245251.27,1163450.58,4.736575
1623715200000,4.833,5.09,4.581,4.675,242769.01,1175375.0,4.837512
1623801600000,4.66,5.37,4.376,4.854,1154227.54,5710927.23,4.874115
1623888000000,4.847,5.68,4.685,4.871,1514786.13,7839527.69,5.182547
1623974400000,4.872,5.0,4.196,4.268,423235.46,1947737.4,4.6026
1624060800000,4.285,8.6,4.0,6.24,11617500.68,80498797.82,6.349065
1624147200000,6.241,6.26,5.06,5.258,5541582.2,30988210.26,5.641959
1624233600000,5.265,5.338,4.0,4.051,2625684.61,11912519.06,4.671851
1624320000000,4.066,4.167,3.33,3.634,1293401.78,4877577.85,3.741258
1624406400000,3.627,4.164,3.577,3.819,1119960.21,4307955.52,3.874554
1624492800000,3.818,3.897,3.596,3.664,476982.0,1778581.56,3.746885
1624579200000,3.664,3.913,3.4,3.634,1207690.89,4419356.51,3.656506
1624665600000,3.634,4.14,3.321,3.582,2154254.74,8052985.09,3.730624
1624752000000,3.589,3.97,3.5,3.816,924895.91,3429276.17,3.737013
1624838400000,3.82,3.89,3.682,3.728,497133.11,1881479.63,3.786617
1624924800000,3.739,4.036,3.629,3.818,802643.78,3083344.35,3.833013
1625011200000,3.819,3.83,3.529,3.683,413459.56,1513427.96,3.675655
1625097600000,3.693,3.695,3.4,3.473,329406.71,1153347.23,3.541767
1625184000000,3.473,4.14,3.384,3.531,2302622.49,8605977.25,3.762383
1625270400000,3.537,3.68,3.493,3.587,472386.44,1699528.76,3.586946
1625356800000,3.587,3.749,3.493,3.559,674262.91,2442820.25,3.621144
1625443200000,3.562,3.606,3.408,3.482,313298.04,1097052.11,3.506362
1625529600000,3.481,3.708,3.471,3.631,533977.61,1930532.1,3.593228
1625616000000,3.633,3.939,3.621,3.649,824679.48,3122392.7,3.780088
1625702400000,3.644,3.666,3.395,3.514,427300.38,1502740.07,3.52754
1625788800000,3.518,3.65,3.355,3.571,279539.48,972470.36,3.502158
1625875200000,3.578,3.65,3.488,3.522,228943.98,811664.83,3.569585
1625961600000,3.527,3.7,3.491,3.592,175913.82,632556.41,3.596392
1626048000000,3.598,3.73,3.48,3.516,288311.02,1028929.6,3.606327
1626134400000,3.513,5.499,3.48,5.438,6656491.82,30271369.23,4.493617
1626220800000,5.43,5.9,4.55,5.242,8829611.65,46779183.55,5.224459
1626307200000,5.246,5.715,4.521,4.828,4152697.91,20758475.84,5.12056
1626393600000,4.835,4.888,3.901,3.902,1515499.41,6582842.28,4.401979
1626480000000,3.905,4.18,3.78,3.925,968899.95,3830445.0,3.980041
1626566400000,3.926,4.151,3.769,3.847,483584.78,1903122.33,3.960794
1626652800000,3.846,3.879,3.41,3.461,519876.55,1859373.2,3.642677
1626739200000,3.467,3.591,2.995,3.06,687711.26,2167915.57,3.296893
1626825600000,3.07,3.497,3.054,3.275,1042831.39,3396422.3,3.281326
1626912000000,3.278,3.333,3.156,3.24,556007.95,1805148.12,3.244331
1626998400000,3.24,4.19,3.22,3.868,2576146.76,9586373.93,3.722675
1627084800000,3.874,4.169,3.63,3.647,1132494.8,4332318.42,3.90595
1627171200000,3.65,4.7,3.54,4.21,2972303.21,12352973.44,4.131755
1627257600000,4.207,4.676,4.004,4.064,1608033.46,6907368.5,4.342342
1627344000000,4.07,4.179,3.75,4.002,806647.21,3207629.5,3.964048
1627430400000,3.997,4.33,3.912,3.999,678507.21,2733655.61,4.121001
1627516800000,4.007,4.046,3.837,3.955,409241.1,1609912.56,3.940879
1627603200000,3.958,4.277,3.8,4.033,654307.7,2625456.7,4.038767
1627689600000,4.033,5.698,3.985,5.54,6157552.03,31006931.93,4.854695
1627776000000,5.554,5.573,4.56,4.653,2841845.86,14325525.02,5.057378
1627862400000,4.655,4.977,4.424,4.656,1442129.51,6687673.22,4.7005
1627948800000,4.664,5.788,4.547,5.285,3904362.73,20377019.13,5.180389
1628035200000,5.282,6.5,5.239,6.179,6362517.32,38386055.51,5.88963
1628121600000,6.193,7.44,5.923,6.633,4210711.57,28000526.62,6.687268
1628208000000,6.629,6.646,5.939,6.089,1594212.84,9884421.47,6.281145
1628294400000,6.1,8.194,5.781,7.674,5695643.36,39730702.21,6.999463
1628380800000,7.669,7.867,6.733,6.741,2699449.89,19650858.44,7.319103
1628467200000,6.741,7.75,6.398,7.051,1925171.9,13552018.26,7.076371
1628553600000,7.049,7.148,6.419,6.785,1439223.45,9751750.65,6.778975
