Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1509926400000,1.5,1.799,0.5,1.571,120615.34,192128.34,1.149211
1510012800000,1.571,1.8,1.5389,1.8,134129.73,224771.73,1.665629
1510099200000,1.7901,1.99,1.7479,1.9889,347290.26,661188.79,1.864784
1510185600000,1.9781,2.1997,1.9,1.99,287037.2,585812.83,2.049876
1510272000000,1.99,2.02,1.6019,1.7133,484658.9,885876.87,1.805946
1510358400000,1.79,1.925,1.58,1.655,258838.37,452345.77,1.753694
1510444800000,1.6567,1.7,1.34,1.49,457159.72,704902.99,1.516978
1510531200000,1.5,1.7381,1.5,1.68,166770.73,273596.32,1.623893
1510617600000,1.6801,1.7381,1.5321,1.5911,177246.45,285855.48,1.635076
1510704000000,1.5721,1.6794,1.49,1.5532,297638.34,460183.52,1.584755
1510790400000,1.5533,1.6699,1.511,1.5599,198029.66,315953.89,1.590465
1510876800000,1.5599,1.5765,1.49,1.5041,419446.58,640592.38,1.533395
1510963200000,1.5041,1.6699,1.492,1.6699,172099.86,270253.43,1.579272
1511049600000,1.6524,1.6948,1.575,1.6,179701.62,294879.47,1.635337
1511136000000,1.6,1.6522,1.5605,1.64,159737.16,257135.1,1.605668
1511222400000,1.6257,1.6419,1.54,1.5874,413447.37,653820.95,1.590379
1511308800000,1.5728,1.6211,1.5556,1.6158,196457.62,311505.23,1.587632
1511395200000,1.6,1.618,1.5388,1.57,184458.49,289488.77,1.578154
1511481600000,1.5644,1.8187,1.54,1.7292,644218.58,1080205.33,1.682468
1511568000000,1.712,1.9588,1.68,1.87,475443.08,856432.45,1.821879
1511654400000,1.85,1.91,1.76,1.8388,193666.26,359756.02,1.834987
1511740800000,1.8388,1.9532,1.74,1.9532,480695.73,877871.74,1.842768
1511827200000,1.945,1.9532,1.801,1.9249,359515.94,677548.27,1.876847
1511913600000,1.9248,2.0486,1.55,1.7565,935739.25,1734093.4,1.798088
1512000000000,1.7641,2.038,1.71,1.95,748118.06,1410818.44,1.87548
1512086400000,1.95,2.1385,1.8801,2.0527,321456.28,650183.35,2.009627
1512172800000,2.0526,2.1199,1.975,2.0797,241150.68,495787.77,2.047285
1512259200000,2.0797,2.4,2.0438,2.2617,346006.6,764734.63,2.225475
1512345600000,2.2617,2.5898,2.2617,2.55,384958.49,945326.37,2.43051
1512432000000,2.5305,2.75,2.5,2.612,428655.47,1125838.35,2.626467
1512518400000,2.6,2.8,2.3272,2.5134,379335.63,970951.9,2.563658
1512604800000,2.5393,2.84,2.4001,2.6625,533510.45,1406348.83,2.620433
1512691200000,2.6489,2.8,2.206,2.79,649804.35,1643051.59,2.499903
1512777600000,2.789,2.81,2.1777,2.65,477826.16,1195662.2,2.49109
1512864000000,2.65,2.6648,2.1315,2.4619,562267.17,1346922.16,2.393085
1512950400000,2.4616,2.78,2.4505,2.687,381605.55,1008639.19,2.620675
1513036800000,2.687,2.7397,2.4545,2.5547,541865.92,1418968.93,2.59575
1513123200000,2.5547,2.74,2.265,2.719,702146.43,1805890.32,2.498358
1513209600000,2.7194,3.1521,2.6981,3.1519,998488.09,2897004.54,2.922004
1513296000000,3.1518,4.399,2.99,4.12,919574.18,3307473.58,3.702343
1513382400000,4.16,4.7201,3.8172,4.6378,775606.79,3319650.86,4.258845
1513468800000,4.63,6.7,4.596,5.999,1555662.04,8931149.05,5.687476
1513555200000,5.999,6.1,4.75,6.0,1430171.07,7898873.16,5.425
1513641600000,5.98,6.463,5.2725,5.6999,1784870.53,10454908.08,5.86814
1513728000000,5.69,5.7,4.68,5.1502,1397302.05,7254130.95,5.172676
1513814400000,5.1819,5.6899,4.42,5.1596,996548.76,5040755.02,5.054941
1513900800000,5.1596,5.1996,3.25,4.2912,1599471.66,6727001.09,4.198674
1513987200000,4.2912,4.998,4.17,4.4,964500.62,4432830.07,4.585034
1514073600000,4.4,5.2,3.8,5.181,1047106.95,4706891.05,4.475492
1514160000000,5.1899,6.88,5.029,6.4631,1480881.6,8940235.58,5.971671
1514246400000,6.4631,10.793,6.35,9.254,3081660.72,25800543.06,8.649526
1514332800000,9.2861,11.3,8.2605,10.0731,2851073.22,27989687.57,9.781966
1514419200000,10.07,10.25,7.8,9.25,2593236.47,22221179.91,9.006704
1514505600000,9.28,9.802,8.39,8.7094,1401565.33,12573057.27,9.100312
1514592000000,8.6808,8.7094,6.9301,7.5947,1648305.01,12799185.76,7.787086
1514678400000,7.5783,8.798,7.5175,8.53,1289214.15,10608475.15,8.174349
1514764800000,8.5478,8.7,7.8,8.45,654338.84,5400587.86,8.249263
1514851200000,8.45,9.1133,8.0922,8.715,1262633.42,10811231.72,8.603097
1514937600000,8.7151,9.4697,8.2653,9.304,947392.65,8256005.93,8.85847
1515024000000,9.304,9.6511,8.5595,9.143,964494.94,8720171.27,9.104654
1515110400000,9.135,16.8172,8.9651,14.8908,2764977.04,34978202.42,13.027435
1515196800000,14.8908,23.6,14.6999,22.6,3130487.22,57138637.82,19.243352
1515283200000,22.6,22.6599,18.05,18.594,1543764.49,31345967.06,20.298619
1515369600000,18.5375,19.2999,14.0018,17.9971,2112065.22,36185866.15,16.646635
